branch,Address,City,State,Zip,lat,lon
83,259 PUTNAM PIKE UNIT 1,SMITHFIELD,RI,2917,41.87,-71.51
84,26 KINGSTOWN RD,WYOMING,RI,2898,41.51,-71.69
85,260 NOOSENECK HILL RD,EXETER,RI,2822,41.58,-71.65
86,2611 S COUNTY TRL,EAST GREENWICH,RI,2818,41.62,-71.49
87,2677 W SHORE RD,WARWICK,RI,2889,41.71,-71.42
88,27 JEFFERSON ST,WARWICK,RI,2888,41.76,-71.4
89,2738 HARTFORD AVE,JOHNSTON,RI,2919,41.83,-71.56
90,275 COWESETT AVE,WEST WARWICK,RI,2893,41.68,-71.51
91,280 COUNTY RD,BARRINGTON,RI,2806,41.74,-71.31
92,283 PARK AVE,CRANSTON,RI,2905,41.77,-71.41
93,283 PROVIDENCE ST,WEST WARWICK,RI,2893,41.71,-71.51
94,30 PARDONS WOOD LN,EAST GREENWICH,RI,2818,41.62,-71.51
95,300 QUAKER LN,WARWICK,RI,2886,41.69,-71.5
96,3001 E MAIN RD STE 22,PORTSMOUTH,RI,2871,41.61,-71.25
97,3045 TOWER HILL RD UNIT 1,SAUNDERSTOWN,RI,2874,41.5,-71.46
98,308 CUMBERLAND ST,WOONSOCKET,RI,2895,42.01,-71.5
99,315 BROAD ST,PROVIDENCE,RI,2907,41.81,-71.42
100,331 HUXLEY AVE,PROVIDENCE,RI,2908,41.84,-71.44
101,3348 PAWTUCKET AVE,RIVERSIDE,RI,2915,41.78,-71.36
102,337 ARMISTICE BLVD,PAWTUCKET,RI,2861,41.88,-71.36
103,341 PROVIDENCE ST,WARWICK,RI,2886,41.71,-71.5
104,372 COTTAGE ST,PAWTUCKET,RI,2861,41.89,-71.37
105,375 MAIN ST,WARREN,RI,2885,41.73,-71.28
106,3781 MENDON RD,CUMBERLAND,RI,2864,41.98,-71.47
107,381 METACOM AVE,BRISTOL,RI,2809,41.68,-71.26
108,383 SMITHFIELD AVE,PAWTUCKET,RI,2860,41.87,-71.41
109,385 PUTNAM PIKE,SMITHFIELD,RI,2917,41.91,-71.52
110,39 PUTNAM PIKE STE 1,JOHNSTON,RI,2919,41.86,-71.49
111,3983 OLD POST RD,CHARLESTOWN,RI,2813,41.39,-71.62
112,399 N BROADWAY,RUMFORD,RI,2916,41.83,-71.36
113,403 BROADWAY,PAWTUCKET,RI,2860,41.89,-71.38
114,4120 MENDON RD,CUMBERLAND,RI,2864,41.97,-71.42
115,416 METACOM AVE,BRISTOL,RI,2809,41.68,-71.26
116,418 KINGSTOWN RD,WEST KINGSTON,RI,2892,41.5,-71.59
117,421 BROADWAY,PAWTUCKET,RI,2860,41.89,-71.38
118,422 WARWICK AVE UNIT 2,WARWICK,RI,2888,41.76,-71.4
119,440 SMITHFIELD AVE,PROVIDENCE,RI,2904,41.86,-71.41
120,465 LONSDALE AVE,PAWTUCKET,RI,2860,41.88,-71.4
121,471 PUTNAM PIKE UNIT C,GREENVILLE,RI,2828,41.87,-71.53
122,480 PONTIAC AVE,CRANSTON,RI,2910,41.77,-71.44
123,481 WARREN AVE,EAST PROVIDENCE,RI,2914,41.81,-71.37
124,484 TAUNTON AVE,EAST PROVIDENCE,RI,2914,41.82,-71.36
125,49 NOOSENECK HILL RD,WEST GREENWICH,RI,2817,41.66,-71.6
126,496 MAIN RD STE 1,TIVERTON,RI,2878,41.66,-71.19
127,5 MARINA PLZ,NEWPORT,RI,2840,41.49,-71.33
128,50 ADMIRAL ST,PROVIDENCE,RI,2908,41.84,-71.42
129,51 MANTON AVE,PROVIDENCE,RI,2909,41.82,-71.44
